Vx	V(q)	V(q_bar)
1.890000000000000e-01	9.518554e-02	1.799996e+00
1.900000000000000e-01	9.570847e-02	1.799996e+00
1.910000000000000e-01	9.623160e-02	1.799996e+00
1.920000000000000e-01	9.675495e-02	1.799996e+00
1.930000000000000e-01	9.727851e-02	1.799996e+00
1.940000000000000e-01	9.780229e-02	1.799996e+00
1.950000000000000e-01	9.832628e-02	1.799996e+00
1.960000000000000e-01	9.885049e-02	1.799996e+00
1.970000000000000e-01	9.937491e-02	1.799996e+00
1.980000000000000e-01	9.989955e-02	1.799996e+00
1.990000000000000e-01	1.004244e-01	1.799996e+00
2.000000000000000e-01	1.009495e-01	1.799996e+00
2.010000000000000e-01	1.014748e-01	1.799995e+00
2.020000000000000e-01	1.020003e-01	1.799995e+00
2.030000000000000e-01	1.025260e-01	1.799995e+00
2.040000000000000e-01	1.030519e-01	1.799995e+00
2.050000000000000e-01	1.035781e-01	1.799995e+00
2.060000000000000e-01	1.041044e-01	1.799995e+00
2.070000000000000e-01	1.046310e-01	1.799995e+00
2.080000000000000e-01	1.051578e-01	1.799995e+00
2.090000000000000e-01	1.056848e-01	1.799995e+00
2.100000000000000e-01	1.062121e-01	1.799995e+00
2.110000000000000e-01	1.067395e-01	1.799995e+00
2.120000000000000e-01	1.072672e-01	1.799995e+00
2.130000000000000e-01	1.077951e-01	1.799995e+00
2.140000000000000e-01	1.083232e-01	1.799995e+00
2.150000000000000e-01	1.088515e-01	1.799994e+00
2.160000000000000e-01	1.093801e-01	1.799994e+00
2.170000000000000e-01	1.099088e-01	1.799994e+00
2.180000000000000e-01	1.104378e-01	1.799994e+00
2.190000000000000e-01	1.109670e-01	1.799994e+00
2.200000000000000e-01	1.114964e-01	1.799994e+00
2.210000000000000e-01	1.120261e-01	1.799994e+00
2.220000000000000e-01	1.125559e-01	1.799994e+00
2.230000000000000e-01	1.130860e-01	1.799994e+00
2.240000000000000e-01	1.136163e-01	1.799994e+00
2.250000000000000e-01	1.141468e-01	1.799994e+00
2.260000000000000e-01	1.146776e-01	1.799994e+00
2.270000000000000e-01	1.152085e-01	1.799993e+00
2.280000000000000e-01	1.157397e-01	1.799993e+00
2.290000000000000e-01	1.162711e-01	1.799993e+00
2.300000000000000e-01	1.168027e-01	1.799993e+00
2.310000000000000e-01	1.173346e-01	1.799993e+00
2.320000000000000e-01	1.178667e-01	1.799993e+00
2.330000000000000e-01	1.183989e-01	1.799993e+00
2.340000000000000e-01	1.189315e-01	1.799993e+00
2.350000000000000e-01	1.194642e-01	1.799993e+00
2.360000000000000e-01	1.199972e-01	1.799993e+00
2.370000000000000e-01	1.205303e-01	1.799992e+00
2.380000000000000e-01	1.210637e-01	1.799992e+00
2.390000000000000e-01	1.215974e-01	1.799992e+00
2.400000000000000e-01	1.221312e-01	1.799992e+00
2.410000000000000e-01	1.226653e-01	1.799992e+00
2.420000000000000e-01	1.231996e-01	1.799992e+00
2.430000000000000e-01	1.237341e-01	1.799992e+00
2.440000000000000e-01	1.242689e-01	1.799992e+00
2.450000000000000e-01	1.248038e-01	1.799991e+00
2.460000000000000e-01	1.253390e-01	1.799991e+00
2.470000000000000e-01	1.258744e-01	1.799991e+00
2.480000000000000e-01	1.264101e-01	1.799991e+00
2.490000000000000e-01	1.269459e-01	1.799991e+00
2.500000000000000e-01	1.274820e-01	1.799991e+00
2.510000000000000e-01	1.280184e-01	1.799991e+00
2.520000000000000e-01	1.285549e-01	1.799991e+00
2.530000000000000e-01	1.290917e-01	1.799990e+00
2.540000000000000e-01	1.296287e-01	1.799990e+00
2.550000000000000e-01	1.301659e-01	1.799990e+00
2.560000000000000e-01	1.307034e-01	1.799990e+00
2.570000000000000e-01	1.312410e-01	1.799990e+00
2.580000000000000e-01	1.317789e-01	1.799990e+00
2.590000000000000e-01	1.323171e-01	1.799990e+00
2.600000000000000e-01	1.328554e-01	1.799989e+00
2.610000000000000e-01	1.333940e-01	1.799989e+00
2.620000000000000e-01	1.339328e-01	1.799989e+00
2.630000000000000e-01	1.344719e-01	1.799989e+00
2.640000000000000e-01	1.350112e-01	1.799989e+00
2.650000000000000e-01	1.355506e-01	1.799989e+00
2.660000000000000e-01	1.360904e-01	1.799988e+00
2.670000000000000e-01	1.366303e-01	1.799988e+00
2.680000000000000e-01	1.371705e-01	1.799988e+00
2.690000000000000e-01	1.377109e-01	1.799988e+00
2.700000000000000e-01	1.382516e-01	1.799988e+00
2.710000000000000e-01	1.387925e-01	1.799988e+00
2.720000000000000e-01	1.393336e-01	1.799987e+00
2.730000000000000e-01	1.398749e-01	1.799987e+00
2.740000000000000e-01	1.404165e-01	1.799987e+00
2.750000000000000e-01	1.409583e-01	1.799987e+00
2.760000000000000e-01	1.415003e-01	1.799987e+00
2.770000000000000e-01	1.420426e-01	1.799986e+00
2.780000000000000e-01	1.425851e-01	1.799986e+00
2.790000000000000e-01	1.431278e-01	1.799986e+00
2.800000000000000e-01	1.436707e-01	1.799986e+00
2.810000000000000e-01	1.442139e-01	1.799986e+00
2.820000000000000e-01	1.447573e-01	1.799985e+00
2.830000000000000e-01	1.453010e-01	1.799985e+00
2.840000000000000e-01	1.458449e-01	1.799985e+00
2.850000000000000e-01	1.463890e-01	1.799985e+00
2.860000000000000e-01	1.469333e-01	1.799985e+00
2.870000000000000e-01	1.474779e-01	1.799984e+00
2.880000000000000e-01	1.480227e-01	1.799984e+00
2.890000000000000e-01	1.485678e-01	1.799984e+00
2.900000000000000e-01	1.491131e-01	1.799984e+00
2.910000000000000e-01	1.496586e-01	1.799983e+00
2.920000000000000e-01	1.502044e-01	1.799983e+00
2.930000000000000e-01	1.507503e-01	1.799983e+00
2.940000000000000e-01	1.512966e-01	1.799983e+00
2.950000000000000e-01	1.518430e-01	1.799982e+00
2.960000000000000e-01	1.523897e-01	1.799982e+00
2.970000000000000e-01	1.529367e-01	1.799982e+00
2.980000000000000e-01	1.534838e-01	1.799981e+00
2.990000000000000e-01	1.540312e-01	1.799981e+00
3.000000000000000e-01	1.545789e-01	1.799981e+00
3.010000000000000e-01	1.551268e-01	1.799981e+00
3.020000000000000e-01	1.556749e-01	1.799980e+00
3.030000000000000e-01	1.562232e-01	1.799980e+00
3.040000000000000e-01	1.567718e-01	1.799980e+00
3.050000000000000e-01	1.573206e-01	1.799980e+00
3.060000000000000e-01	1.578697e-01	1.799979e+00
3.070000000000000e-01	1.584190e-01	1.799979e+00
3.080000000000000e-01	1.589685e-01	1.799979e+00
3.090000000000000e-01	1.595183e-01	1.799978e+00
3.100000000000000e-01	1.600683e-01	1.799978e+00
3.110000000000000e-01	1.606186e-01	1.799978e+00
3.120000000000000e-01	1.611691e-01	1.799977e+00
3.130000000000000e-01	1.617198e-01	1.799977e+00
3.140000000000000e-01	1.622708e-01	1.799977e+00
3.150000000000000e-01	1.628220e-01	1.799976e+00
3.160000000000000e-01	1.633735e-01	1.799976e+00
3.170000000000000e-01	1.639252e-01	1.799976e+00
3.180000000000000e-01	1.644771e-01	1.799975e+00
3.190000000000000e-01	1.650293e-01	1.799975e+00
3.200000000000000e-01	1.655817e-01	1.799974e+00
3.210000000000000e-01	1.661344e-01	1.799974e+00
3.220000000000000e-01	1.666873e-01	1.799974e+00
3.230000000000000e-01	1.672404e-01	1.799973e+00
3.240000000000000e-01	1.677938e-01	1.799973e+00
3.250000000000000e-01	1.683474e-01	1.799972e+00
3.260000000000000e-01	1.689013e-01	1.799972e+00
3.270000000000000e-01	1.694554e-01	1.799972e+00
3.280000000000000e-01	1.700098e-01	1.799971e+00
3.290000000000000e-01	1.705644e-01	1.799971e+00
3.300000000000000e-01	1.711192e-01	1.799970e+00
3.310000000000000e-01	1.716743e-01	1.799970e+00
3.320000000000000e-01	1.722297e-01	1.799969e+00
3.330000000000000e-01	1.727853e-01	1.799969e+00
3.340000000000000e-01	1.733411e-01	1.799968e+00
3.350000000000000e-01	1.738971e-01	1.799968e+00
3.360000000000000e-01	1.744535e-01	1.799968e+00
3.370000000000000e-01	1.750100e-01	1.799967e+00
3.380000000000000e-01	1.755668e-01	1.799967e+00
3.390000000000000e-01	1.761239e-01	1.799966e+00
3.400000000000000e-01	1.766812e-01	1.799966e+00
3.410000000000000e-01	1.772388e-01	1.799965e+00
3.420000000000000e-01	1.777966e-01	1.799964e+00
3.430000000000000e-01	1.783546e-01	1.799964e+00
3.440000000000000e-01	1.789129e-01	1.799963e+00
3.450000000000000e-01	1.794714e-01	1.799963e+00
3.460000000000000e-01	1.800302e-01	1.799962e+00
3.470000000000000e-01	1.805893e-01	1.799962e+00
3.480000000000000e-01	1.811486e-01	1.799961e+00
3.490000000000000e-01	1.817081e-01	1.799960e+00
3.500000000000000e-01	1.822679e-01	1.799960e+00
3.510000000000000e-01	1.828279e-01	1.799959e+00
3.520000000000000e-01	1.833882e-01	1.799959e+00
3.530000000000000e-01	1.839487e-01	1.799958e+00
3.540000000000000e-01	1.845095e-01	1.799958e+00
3.550000000000000e-01	1.850706e-01	1.799957e+00
3.560000000000000e-01	1.856319e-01	1.799956e+00
3.570000000000000e-01	1.861934e-01	1.799955e+00
3.580000000000000e-01	1.867552e-01	1.799955e+00
3.590000000000000e-01	1.873172e-01	1.799954e+00
3.600000000000000e-01	1.878795e-01	1.799953e+00
3.610000000000000e-01	1.884421e-01	1.799953e+00
3.620000000000000e-01	1.890049e-01	1.799952e+00
